Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
Spo00059	Spo00400	Spo02015	Spo00532	Spo12764	Spo00900	Spo00452	Spo02417	Spo01085	Spo12764	Spo03572	Spo00560	Spo21245			Spo12764		Spo22878	Spo16961	Spo26421				Spo05133															Spo07414	Spo20382							Spo22145									
Spo00060	Spo00405	Spo02022	Spo00539	Spo13512	Spo00902	Spo00463	Spo02457	Spo01101	Spo13512	Spo03732	Spo00568	Spo21827			Spo13512		Spo23133	Spo17071					Spo05156															Spo07508	Spo20441							Spo22283									
Spo00061	Spo00423	Spo02023	Spo00568	Spo13835	Spo00904	Spo00471	Spo02472	Spo01116	Spo13835	Spo03835	Spo00569	Spo22364			Spo13835		Spo23227	Spo17106					Spo05171															Spo07537	Spo21067							Spo22284									
Spo00063	Spo00441	Spo02078	Spo00569	Spo14483	Spo00905	Spo00478	Spo02565	Spo01120	Spo14483	Spo03847	Spo00571	Spo22999			Spo14483		Spo24704	Spo17346					Spo05263															Spo07734	Spo21361							Spo23583									
Spo00065	Spo00452	Spo02098	Spo00571	Spo14829	Spo00907	Spo00532	Spo02626	Spo01153	Spo14829	Spo03863	Spo00581	Spo23112			Spo14829		Spo24875	Spo18038					Spo05280															Spo07737	Spo21472							Spo24722									
Spo00066	Spo00463	Spo02123	Spo00581	Spo15546	Spo00938	Spo00538	Spo02690	Spo01175	Spo15546	Spo03884	Spo00606	Spo23605			Spo15546		Spo25328	Spo18143					Spo05325															Spo07745	Spo21476							Spo24833									
Spo00067	Spo00471	Spo02214	Spo00606	Spo15605	Spo00967	Spo00539	Spo02728	Spo01183	Spo15605	Spo03921	Spo00664	Spo24081			Spo15605		Spo25370	Spo18232					Spo05343															Spo07950	Spo21477							Spo25131									
Spo00070	Spo00478	Spo02223	Spo00656	Spo15959	Spo01010	Spo00560	Spo02835	Spo01205	Spo15959	Spo04153	Spo00671	Spo24633			Spo15959		Spo26139	Spo18502					Spo05556															Spo08094	Spo21566							Spo25391									
Spo00071	Spo00507	Spo02250	Spo00664	Spo16563	Spo01014	Spo00568	Spo02895	Spo01237	Spo16563	Spo04165	Spo00672	Spo25369			Spo16563			Spo18874					Spo05669															Spo08121	Spo23141							Spo25934									
Spo00072	Spo00532	Spo02271	Spo00671	Spo16935	Spo01029	Spo00569	Spo02906	Spo01241	Spo16935	Spo04282	Spo00680	Spo26006			Spo16935			Spo18930					Spo05687															Spo08263	Spo23154							Spo26632									
Spo00073	Spo00538	Spo02283	Spo00672	Spo16963	Spo01037	Spo00571	Spo02914	Spo01252	Spo16963	Spo04580	Spo00692	Spo27163			Spo16963			Spo19331					Spo05701															Spo08533	Spo23695																
Spo00075	Spo00539	Spo02285	Spo00680	Spo16966	Spo01039	Spo00581	Spo02935	Spo01255	Spo16966	Spo04597	Spo00765	Spo27346			Spo16966			Spo19627					Spo05726															Spo08696	Spo24630																
